family,sample_index,seed,policy,compilation_successful,ssim,coordinate_error,coordinate_points_compared,emitted_primitives,token_ged,graph_ged,token_overlap,predicted_family,is_line_segment_collapsed,total_length,length_to_eos,has_eos,unk_count,raw_unbalanced_parens,san_unbalanced_parens,tex_error
line_segment,78,42078,greedy,True,0.7080,0.4608,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,78,42078,beam_search,True,0.5675,0.4356,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,79,42079,greedy,True,0.8022,0.2720,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,79,42079,beam_search,True,0.8013,0.2882,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,80,42080,greedy,True,0.8926,0.3263,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,80,42080,beam_search,True,0.8943,0.2650,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,81,42081,greedy,True,0.8265,0.2640,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,81,42081,beam_search,True,0.8265,0.2640,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,82,42082,greedy,True,0.3358,0.1644,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,82,42082,beam_search,True,0.9677,0.1223,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,83,42083,greedy,True,0.8404,0.1691,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,83,42083,beam_search,True,0.3835,0.1773,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,84,42084,greedy,False,0.0000,0.6203,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x11906af70>
line_segment,84,42084,beam_search,True,0.9800,0.7948,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,85,42085,greedy,True,0.8067,0.3599,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,85,42085,beam_search,True,0.8067,0.3599,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,86,42086,greedy,True,0.8157,0.1492,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,86,42086,beam_search,True,0.8157,0.1492,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,87,42087,greedy,True,0.9418,0.2630,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,87,42087,beam_search,True,0.9418,0.2630,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,88,42088,greedy,True,0.5139,0.1286,2,draw,0.8696,1.0000,0.1250,line_segment,False,25,25,True,0,0,0,
line_segment,88,42088,beam_search,True,0.3894,0.1499,2,draw,0.8696,1.0000,0.1250,line_segment,False,25,25,True,0,0,0,
line_segment,89,42089,greedy,False,0.0000,0.4166,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x12876eca0>
line_segment,89,42089,beam_search,False,0.0000,0.4187,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x128795210>
line_segment,90,42090,greedy,False,0.0000,0.2895,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x355e4b790>
